scraped_ts,category,product_name,company,price_raw,city,state,rating,product_url
2025-04-24T06:41:19,wheat,Wheat,,,,,,
2025-04-24T06:41:19,wheat,"Organic Emmer Wheat, 30 Kg",,,,,,
2025-04-24T06:41:19,wheat,Organic Khapli Wheat,,,,,,
2025-04-24T06:41:19,wheat,"30kg Brown Organic Khapli Wheat, For Making Flour",,,,,,
2025-04-24T06:41:19,wheat,Export Quality Wheat,,,,,,
2025-04-24T06:41:19,wheat,Wheat,,,,,,
2025-04-24T06:41:19,wheat,25 Kg Wheat Grains,,,,,,
2025-04-24T06:41:19,wheat,"Milling Wheat, 50 Kg",,,,,,
2025-04-24T06:41:19,wheat,"50 Kg Wheat Cleaning Gravity (Lok-1, Purna-Hi-1544, Avrage)",,,,,,
2025-04-24T06:41:19,wheat,Milling Wheat,,,,,,
2025-04-24T06:41:19,wheat,B Grade Wheat Grain,,,,,,
2025-04-24T06:41:19,wheat,50 Kg Organic Lokwan Wheat,,,,,,
2025-04-24T06:41:19,wheat,Golden 50kg Wheat Grains,,,,,,
2025-04-24T06:41:19,wheat,Wheat,,,,,,
2025-04-24T06:41:19,wheat,Food Wheat Grains,,,,,,
2025-04-24T06:41:20,wheat,"Milling Wheat Grains, 50 Kg",,,,,,
2025-04-24T06:41:20,wheat,Quaker 1 Kg Milling Wheat,,,,,,
2025-04-24T06:41:20,wheat,"Wheat Grains, Packaging Size: Loose, High In Protein",,,,,,
2025-04-24T06:41:20,wheat,50 Kg Wheat Grains,,,,,,
2025-04-24T06:41:20,wheat,Wheat Mill,,,,,,
2025-04-24T06:41:20,wheat,Raj 4238 Seeds,,,,,,
2025-04-24T06:41:20,wheat,Milling Wheat Seeds,,,,,,
2025-04-24T06:41:20,wheat,Aashirvad 50 Kg B Grade Milling Wheat,,,,,,
2025-04-24T06:41:20,wheat,50 Kg Wheat Grain,,,,,,
2025-04-24T06:41:20,wheat,"Milling Wheat, 50 Kg",,,,,,
2025-04-24T06:41:20,wheat,25kg Food Wheat Grains,,,,,,
2025-04-24T06:41:20,wheat,"Wheat Mill Quality, 50 Kg",,,,,,
2025-04-24T06:41:20,wheat,"Natural Shriram Super 111 Wheat Seed, Packaging Size: 50 kg",,,,,,
2025-04-24T06:41:20,wheat,Samba Wheat Whole,,,,,,
2025-04-24T06:41:20,wheat,Sk Whole Wheat Khapli,,,,,,
2025-04-24T06:41:20,wheat,Khapli / Emmer Wheat Flour,,,,,,
2025-04-24T06:41:20,wheat,25 Kg Sona Moti Wheat,,,,,,
2025-04-24T06:41:20,wheat,50 Kg Wheat,,,,,,
2025-04-24T06:41:20,wheat,Golden Sona Moti Wheat,,,,,,
2025-04-24T06:41:20,wheat,50 Kg Mill Quality Whole Wheat,,,,,,
2025-04-24T06:41:20,wheat,25 Kg Meal Quality Wheat,,,,,,
2025-04-24T06:41:20,wheat,Milling Wheat A,,,,,,
2025-04-24T06:41:20,wheat,Grade A Wheat Grain,,,,,,
2025-04-24T06:41:20,wheat,"Organic Khapli Wheat, For Eating, 30 kg",,,,,,
2025-04-24T06:41:20,wheat,Choice Organic Milling Wheat,,,,,,
2025-04-24T06:41:20,wheat,Natural Wheat Grain,,,,,,
2025-04-24T06:41:21,wheat,50 Kg Loose Wheat Grain,,,,,,
2025-04-24T06:41:21,wheat,50 Kg Wheat Grain .,,,,,,
2025-04-24T06:41:21,wheat,Natural PBW 502 Wheat,,,,,,
2025-04-24T06:41:21,wheat,Natural Hd 2967 Wheat,,,,,,
2025-04-24T06:41:21,wheat,Natural Pbw 343 Wheat,,,,,,
2025-04-24T06:41:21,wheat,Buckwheat Grain Seed,,,,,,
2025-04-24T06:41:21,wheat,Brown Wheat Godi Kohinoor,,,,,,
2025-04-24T06:41:21,wheat,Lapsi Jave Godhi Broken Wheat Khapli Wheat Double Lion Brand 10kg,,,,,,
2025-04-24T06:41:21,wheat,"Khapli Wheat Jave Godhi Samba Wheat, 30 Kg",,,,,,
2025-04-24T06:41:21,wheat,"Wheat, Packaging Type: Bag",,,,,,
2025-04-24T06:41:21,wheat,Golden 25 Kg And 30 Kg Lokwan Wheat,,,,,,
2025-04-24T06:41:21,wheat,Whole Wheat,,,,,,
2025-04-24T06:41:21,wheat,25kg And 30kg Khapali Wheat,,,,,,
2025-04-24T06:41:21,wheat,25 Kg Sharbati Wheat Grain,,,,,,
2025-04-24T06:41:21,wheat,50 Kg Durum Wheat,,,,,,
2025-04-24T06:41:21,wheat,Golden 25 Kg Lokwan Wheat Grain,,,,,,
2025-04-24T06:41:21,wheat,"25 Kg Golden Wheat, For Making Flour",,,,,,
2025-04-24T06:41:21,wheat,"Eco Indian Durum Wheat Semolina, 25 KG, 15 KG, 50 KG, High in Protein",,,,,,
2025-04-24T06:41:21,wheat,Bulgur Wheat,,,,,,
2025-04-24T06:41:21,wheat,Golden Hulled Durum Wheat,,,,,,
2025-04-24T06:41:21,wheat,Durum Wheat Semolina,,,,,,
2025-04-24T06:41:21,wheat,Indian Patanjali Durum Wheat Semolina,,,,,,
2025-04-24T06:41:22,wheat,"On Golden Brown Patanjali Milling Wheat, Organic",,,,,,
2025-04-24T06:41:22,wheat,Sk Agrotech Green Wheat Flour 25 Kg,,,,,,
2025-04-24T06:41:22,wheat,25 Kg Food Wheat Grains,,,,,,
2025-04-24T06:41:22,wheat,"High Quality Milling Wheat, 30 Kg",,,,,,
2025-04-24T06:41:22,wheat,Lokwan Wheat,,,,,,
2025-04-24T06:41:22,wheat,Broken Wheat,,,,,,
2025-04-24T06:41:22,wheat,100 Kg Natural Brown Wheat,,,,,,
2025-04-24T06:41:22,wheat,"50 Kg Manufacturer, Worldwide Exporter of Indian Wheat",,,,,,
2025-04-24T06:41:22,wheat,"Manufacturer, Worldwide Exporter , Wholesaler Of Medicinal Sugar Free Black Wheat",,,,,,
2025-04-24T06:41:22,wheat,Golden 25 Kg Durum wheat,,,,,,
2025-04-24T06:41:22,wheat,"Hybrid 30 kg Super Quality wheat, For Food Processing, Packaging Type: Loose",,,,,,
2025-04-24T06:41:22,wheat,Tukdi Golden Wheat Grain,,,,,,
2025-04-24T06:41:22,wheat,Golden Tukdi Wheat,,,,,,
2025-04-24T06:41:22,wheat,"Milling wheat, 50 Kg",,,,,,
2025-04-24T06:41:22,wheat,Lokwan Wheat,,,,,,
2025-04-24T06:41:22,wheat,Bhalia Wheat,,,,,,
2025-04-24T06:41:22,wheat,Wheat Dalia,,,,,,
2025-04-24T06:41:22,wheat,Samba Wheat,,,,,,
2025-04-24T06:41:22,wheat,Wheat . .,,,,,,
2025-04-24T06:41:22,wheat,Golden 25 Kg Food Wheat Grains,,,,,,
2025-04-24T06:41:22,wheat,"Italian Feastia Fusilli Pasta Made From Durum Wheat, Gluten Free",,,,,,
2025-04-24T06:41:22,wheat,Organic buckwheat whole,,,,,,
2025-04-24T06:41:22,wheat,Whole Wheat Grain 1482,,,,,,
2025-04-24T06:41:22,wheat,Brown Organic Buckwheat Seeds,,,,,,
2025-04-24T06:41:22,wheat,Organic Khapli Wheat,,,,,,
2025-04-24T06:41:22,wheat,Golden Whole Buckwheat Seeds,,,,,,
2025-04-24T06:41:22,wheat,Brown Kuttu Buckwheat Seed,,,,,,
2025-04-24T06:41:22,wheat,"Black Natural Buckwheat Seeds, Packaging Type: Pp Bag",,,,,,
2025-04-24T06:41:22,wheat,Golden Organic Buckwheat Seeds,,,,,,
2025-04-24T06:41:23,wheat,"Sushmakhadi Barley Dalia, Packaging Size: 500gm",,,,,,
2025-04-24T06:41:23,wheat,"Indian Sushma Khadi Bajra Dalia, Packaging Size: 500gm",,,,,,
2025-04-24T06:41:23,wheat,"Sushmakhadi Indian 5 - Grain Mix Dalia, Packaging Size: 500gm",,,,,,
2025-04-24T06:41:23,wheat,"Sushmakhadi Ankur Wheat Dalia, Packaging Size: 500gm",,,,,,
2025-04-24T06:41:23,wheat,Golden Truck Load Indian Fresh Wheat,,,,,,
2025-04-24T06:41:23,wheat,Mill 50 Kg Wheat,,,,,,
2025-04-24T06:41:23,wheat,Hulled Yellow Wheat,,,,,,
2025-04-24T06:41:23,wheat,"Broken Wheat Fada, Country Of Orig In : Made In In Dia, Packag In G Size: 25 Kg",,,,,,
2025-04-24T06:41:23,wheat,"Hulled Durum Wheat, 30kg",,,,,,
2025-04-24T06:41:23,wheat,"Lapsi Broken Wheat, Country Of Orig In : Made In In Dia, Packag In G Size: 50 Kg",,,,,,
2025-04-24T06:41:23,wheat,"Organic Khapli Wheat, 50 kg",,,,,,
2025-04-24T06:41:23,wheat,Golden 40 Wheat,,,,,,
2025-04-24T06:41:23,wheat,Organic Khapli Wheat,,,,,,
2025-04-24T06:41:23,wheat,Hydrolysed Wheat Protein Liquid Water Soluble 20%,,,,,,
2025-04-24T06:41:23,wheat,Hydrolysed Wheat Protein Liquid Water Soluble 20%,,,,,,
2025-04-24T06:41:23,wheat,Hydrolysed Wheat Protein Liquid Water Soluble 20%,,,,,,
2025-04-24T06:41:23,wheat,Hydrolysed Wheat Protein Liquid Water Soluble 20%,,,,,,
2025-04-24T06:41:23,wheat,25 Kg Food Wheat Grains,,,,,,
2025-04-24T06:41:23,wheat,Brownish 50 Kg Lokwan Wheat Grain,,,,,,
2025-04-24T06:41:23,wheat,"Wheat Dalia, Country Of Origin: India, Packaging Size: 1 Kg",,,,,,
2025-04-24T06:41:23,wheat,"Whole Wheat Grain, Organic",,,,,,
2025-04-24T06:41:23,wheat,Emmer Wheat (Khapli)1kg,,,,,,
2025-04-24T06:41:23,wheat,30 Kg Emmer Wheat (kahapli),,,,,,
2025-04-24T06:41:23,wheat,Dried Wheat Grains,,,,,,
2025-04-24T06:41:23,wheat,"Khapli Wheat Flour - Emmer wheat, 25KG",,,,,,
2025-04-24T06:41:23,wheat,"Wheat Malt Flour, 50 kg",,,,,,
2025-04-24T06:41:23,wheat,25 Kg Kuttu Buckwheat Seed,,,,,,
2025-04-24T06:41:23,wheat,"Organic Multi Grain Dalia/ Mix Dalia, Pack Size: 5kg And 25kg",,,,,,
2025-04-24T06:41:23,wheat,Durum Wheat Semolina,,,,,,
2025-04-24T06:41:23,wheat,"Yellow Brown 500gms Sanghi Gold Wheat Dalia, Packaging Size: 1 Kg, High In Protein",,,,,,
2025-04-24T06:41:23,wheat,1 Kg Kuchla Seed Extract,,,,,,
2025-04-24T06:50:29,wheat,Wheat,,,,,,
2025-04-24T06:50:29,wheat,Emmer Khapli Wheat,,,,,,
2025-04-24T06:50:29,wheat,Golden Loose Khapli Wheat Grain,,,,,,
2025-04-24T06:50:29,wheat,30kg Whole Wheat Grain,,,,,,
2025-04-24T06:50:30,wheat,"50 Kg Wheat Cleaning Gravity (Lok-1, Purna-Hi-1544, Avrage)",,,,,,
2025-04-24T06:50:30,wheat,"Wheat Grains Filter Machine Clean, For Cleaning",,,,,,
2025-04-24T06:50:30,wheat,B Grade Wheat Grain,,,,,,
2025-04-24T06:50:30,wheat,50 Kg Organic Lokwan Wheat,,,,,,
2025-04-24T06:50:30,wheat,Wheat,,,,,,
2025-04-24T06:50:30,wheat,Export Quality Wheat,,,,,,
2025-04-24T06:50:30,wheat,Lokwan Wheat,,,,,,
2025-04-24T06:50:30,wheat,25 Kg Wheat Grains,,,,,,
2025-04-24T06:50:30,wheat,Golden 50kg Wheat Grains,,,,,,
2025-04-24T06:50:30,wheat,Wheat,,,,,,
2025-04-24T06:50:30,wheat,Food Wheat Grains,,,,,,
2025-04-24T06:50:30,wheat,"Milling Wheat Grains, 50 Kg",,,,,,
2025-04-24T06:50:30,wheat,Quaker 1 Kg Milling Wheat,,,,,,
2025-04-24T06:50:30,wheat,"Wheat Grains, Packaging Size: Loose, High In Protein",,,,,,
2025-04-24T06:50:30,wheat,50 Kg Wheat Grains,,,,,,
2025-04-24T06:50:30,wheat,Wheat Mill,,,,,,
2025-04-24T06:50:30,wheat,Raj 4238 Seeds,,,,,,
2025-04-24T06:50:30,wheat,Milling Wheat Seeds,,,,,,
2025-04-24T06:50:30,wheat,Aashirvad 50 Kg B Grade Milling Wheat,,,,,,
2025-04-24T06:50:30,wheat,50 Kg Wheat Grain,,,,,,
2025-04-24T06:50:30,wheat,"Milling Wheat, 50 Kg",,,,,,
2025-04-24T06:50:30,wheat,50 kg Wheat,,,,,,
2025-04-24T06:50:30,wheat,25 Kg Sona Moti Wheat,,,,,,
2025-04-24T06:50:30,wheat,Golden Sona Moti Wheat,,,,,,
2025-04-24T06:50:30,wheat,Khapli / Emmer Wheat Flour,,,,,,
2025-04-24T06:50:30,wheat,Sk Whole Wheat Khapli,,,,,,
2025-04-24T06:50:30,wheat,"Natural Shriram Super 111 Wheat Seed, Packaging Size: 50 Kg",,,,,,
2025-04-24T06:50:31,wheat,Samba Wheat Whole,,,,,,
2025-04-24T06:50:31,wheat,"Wheat Mill Quality, 50 Kg",,,,,,
2025-04-24T06:50:31,wheat,50 Kg Mill Quality Whole Wheat,,,,,,
2025-04-24T06:50:31,wheat,25kg Food Wheat Grains,,,,,,
2025-04-24T06:50:31,wheat,25 Kg Meal Quality Wheat,,,,,,
2025-04-24T06:50:31,wheat,Milling Wheat A,,,,,,
2025-04-24T06:50:31,wheat,"Organic Khapli Wheat, For Eating, 30 kg",,,,,,
2025-04-24T06:50:31,wheat,Grade A Wheat Grain,,,,,,
2025-04-24T06:50:31,wheat,Natural Wheat Grain,,,,,,
2025-04-24T06:50:31,wheat,50 Kg Wheat Grain .,,,,,,
2025-04-24T06:50:31,wheat,50 Kg Loose Wheat Grain,,,,,,
2025-04-24T06:50:31,wheat,Choice Organic Milling Wheat,,,,,,
2025-04-24T06:50:31,wheat,Natural HD 2967 Wheat,,,,,,
2025-04-24T06:50:31,wheat,Natural Pbw 502 Wheat,,,,,,
2025-04-24T06:50:31,wheat,Natural Pbw 343 Wheat,,,,,,
2025-04-24T06:50:31,wheat,BROWN Wheat Godi Kohinoor,,,,,,
2025-04-24T06:50:31,wheat,Buckwheat Grain Seed,,,,,,
2025-04-24T06:50:31,wheat,Lapsi Jave Godhi Broken Wheat Khapli Wheat Double Lion Brand 10kg,,,,,,
2025-04-24T06:50:31,wheat,"Khapli Wheat Jave Godhi Samba Wheat, 30 Kg",,,,,,
2025-04-24T06:50:31,wheat,50 Kg Durum Wheat,,,,,,
2025-04-24T06:50:31,wheat,25 Kg Sharbati Wheat Grain,,,,,,
2025-04-24T06:50:31,wheat,"25 Kg Golden Wheat, For Making Flour",,,,,,
2025-04-24T06:50:31,wheat,Golden 25 Kg Lokwan Wheat Grain,,,,,,
2025-04-24T06:50:31,wheat,"Wheat, Packaging Type: Bag",,,,,,
2025-04-24T06:50:31,wheat,Golden 25 Kg And 30 Kg Lokwan Wheat,,,,,,
2025-04-24T06:50:32,wheat,25kg And 30kg Khapali Wheat,,,,,,
2025-04-24T06:50:32,wheat,Whole Wheat,,,,,,
2025-04-24T06:50:32,wheat,Indian Patanjali Durum Wheat Semolina,,,,,,
2025-04-24T06:50:32,wheat,"On Golden Brown Patanjali Milling Wheat, Organic",,,,,,
2025-04-24T06:50:32,wheat,Golden Hulled Durum Wheat,,,,,,
2025-04-24T06:50:32,wheat,Durum Wheat Semolina,,,,,,
2025-04-24T06:50:32,wheat,Bulgur Wheat,,,,,,
2025-04-24T06:50:32,wheat,"Eco Indian Durum Wheat Semolina, 25 Kg, 15 Kg, 50 Kg, High In Protein",,,,,,
2025-04-24T06:50:32,wheat,Sk Agrotech Green Wheat Flour 25 Kg,,,,,,
2025-04-24T06:50:32,wheat,"High Quality Milling Wheat, 30 Kg",,,,,,
2025-04-24T06:50:32,wheat,25 Kg Food Wheat Grains,,,,,,
2025-04-24T06:50:32,wheat,Lokwan Wheat,,,,,,
2025-04-24T06:50:32,wheat,100 Kg Natural Brown Wheat,,,,,,
2025-04-24T06:50:32,wheat,"50 Kg Manufacturer, Worldwide Exporter of Indian Wheat",,,,,,
2025-04-24T06:50:32,wheat,"Manufacturer, Worldwide Exporter , Wholesaler Of Medicinal Sugar Free Black Wheat",,,,,,
2025-04-24T06:50:32,wheat,Broken Wheat,,,,,,
2025-04-24T06:50:32,wheat,Golden 25 Kg Durum wheat,,,,,,
2025-04-24T06:50:32,wheat,"Hybrid 30 kg Super Quality wheat, For Food Processing, Packaging Type: Loose",,,,,,
2025-04-24T06:50:32,wheat,Tukdi Golden Wheat Grain,,,,,,
2025-04-24T06:50:32,wheat,Golden Tukdi Wheat,,,,,,
2025-04-24T06:50:32,wheat,"Milling wheat, 50 Kg",,,,,,
2025-04-24T06:50:32,wheat,Samba Wheat,,,,,,
2025-04-24T06:50:32,wheat,Bhalia Wheat,,,,,,
2025-04-24T06:50:32,wheat,Wheat Dalia,,,,,,
2025-04-24T06:50:33,wheat,Golden 25 Kg Sharbati Wheat,,,,,,
2025-04-24T06:50:33,wheat,Wheat . .,,,,,,
2025-04-24T06:50:33,wheat,Golden 25 Kg Food Wheat Grains,,,,,,
2025-04-24T06:50:33,wheat,"Brown Indian Wheat Grains, 50Kg",,,,,,
2025-04-24T06:50:33,wheat,Mill 50 Kg Wheat,,,,,,
2025-04-24T06:50:33,wheat,"Whole Wheat Grain, Organic",,,,,,
2025-04-24T06:50:33,wheat,Golden Truck Load Indian Fresh Wheat,,,,,,
2025-04-24T06:50:33,wheat,"Italian Feastia Fusilli Pasta Made From Durum Wheat, Gluten Free",,,,,,
2025-04-24T06:50:33,wheat,25 Kg Food Wheat Grains,,,,,,
2025-04-24T06:50:33,wheat,Brownish 50 Kg Lokwan Wheat Grain,,,,,,
2025-04-24T06:50:33,wheat,Mallikarjun 500 gm Whole Wheat Rawa,,,,,,
2025-04-24T06:50:33,wheat,MP SEHORI SHARBATI WHEAT GRAINS,,,,,,
2025-04-24T06:50:33,wheat,Rasagulla M.p Sehore Wheat Grains,,,,,,
2025-04-24T06:50:33,wheat,30 Kg Mp Sehori Sharbati Wheat,,,,,,
2025-04-24T06:50:33,wheat,"3 Gold Brass Dalia, Shape: Hexagon, Size: 12 Inches",,,,,,
2025-04-24T06:50:33,wheat,"Kuttu, 4.05 G, 1 Kg",,,,,,
2025-04-24T06:50:33,wheat,Kuttu Kernel,,,,,,
2025-04-24T06:50:33,wheat,Natural Buckwheat Seed,,,,,,
2025-04-24T06:50:33,wheat,Kuttu,,,,,,
2025-04-24T06:50:33,wheat,"Yellow A Grade Loose Dalia, Packaging Size: 25 Kg, High in Protein",,,,,,
2025-04-24T06:50:33,wheat,"Kesari Yellow Wheat Dalia In Indore, Packaging Size: Loose",,,,,,
2025-04-24T06:50:33,wheat,"Loose Durum Wheat, 50 Kg",,,,,,
2025-04-24T06:50:33,wheat,50 Kg Sugar Free Wheat,,,,,,
2025-04-24T06:50:33,wheat,Sharbati Food Wheat Grains,,,,,,
2025-04-24T06:50:33,wheat,"AgroPure Dalia/Whole Grain - 1 kg, Country Of Origin: India, High in Protein",,,,,,
2025-04-24T06:50:33,wheat,"Organic Khapli Wheat, 50 kg",,,,,,
2025-04-24T06:50:33,wheat,Golden Food Wheat Grains,,,,,,
2025-04-24T06:50:33,wheat,Buckwheat ( Kuttu ),,,,,,
2025-04-24T06:50:33,wheat,Buckwheat Kuttu ( Kala Kuttu ),,,,,,
2025-04-24T06:50:33,wheat,"Yellow Brown 500Gms Sanghi Gold Wheat Dalia, Packaging Size: 1 Kg, High in Protein",,,,,,
2025-04-24T06:50:33,wheat,Durum Wheat Semolina,,,,,,
2025-04-24T06:50:34,wheat,"Organic Multi Grain Dalia/ Mix Dalia, Pack Size: 5kg And 25kg",,,,,,
2025-04-24T06:50:34,wheat,"Omjee White Daliya Hanger 12 Pcs., For Home, High in Protein",,,,,,
2025-04-24T06:50:34,wheat,Golden 25 Kg Buckwheat Seed,,,,,,
2025-04-24T06:50:34,wheat,Golden 25 Kg Organic Khapli Wheat,,,,,,
2025-04-24T06:50:34,wheat,"Brown Whole Wheat Pasta, For Food, Packaging Size: 500 G",,,,,,
2025-04-24T06:50:34,wheat,25 Kg Organic Buckwheat Whole,,,,,,
2025-04-24T06:50:34,wheat,"Organic Khapli Wheat, 25 Kg",,,,,,
2025-04-24T06:50:34,wheat,Golden 50 Kg Milling Wheat,,,,,,
